Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,City,Global,Client Served,Business Line
Bulbee,http://www.bulbee.net,Home energy audit platform,Seed,"100,000",Energy Efficiency,Nascent,2012,Israel,Tel Aviv-Yafo,Global,End consumers,Energy Efficiency
BAK Battery,http://www.bak.com.cn,Lithium based battery manufacturer,Public,"146,650,000",x,Mature,2001,China,Shenzhen,Global,Manufacturers,Battery manufacturing
Elencon,http://elencon.com/,Smart chiller management systems,Seed,"1,000,000",Energy Analytics,Nascent,2012,Israel,Jerusalem,Global,Commercial and Industrial (C&I) ,IOT Devices
Ampere Vehicles,https://amperevehicles.com/,Manufactures electric two wheelers and other electric vehicles,Acquired,"13,233,100",x,Mature,2008,India,Coimbatore,Global,End consumers,E Mobility
City Transformer,https://www.citytransformer.com,Electric folding car,Funded,,x,Nascent,2013,Israel,Hagor,Global,End consumers,E Mobility
ElectRoad,https://www.electroad.me,Wireless charging technology for electric vehicles,Funded,,Smart Energy,Nascent,2013,Israel,Rosh Haayin,Global,City councils ,Electric Roads
Durapower Technology,https://www.durapowerbattery.com,Lithium-Ion battery system developers,Funded,,x,Nascent,2014,Singapore,Singapore,Global,Manufacturers,Battery manufacturing
Eve Energy,https://www.evebattery.com,Lithium battery developer and manufacturer,Public,,x,Mature,2001,China,Huizhou,Global,End consumers,EV Charging
Zenatix,https://zenatix.com/,Smart energy monitoring and analytics,Acquired,"1,721,521",Smart Cities,Emerging,2013,India,Gurgaon,Global,Commercial and Industrial (C&I) ,Smart Building Management
Titans,http://www.titans.com.cn,Electric vehicle charging solutions,Public,,x,Mature,1992,China,Zhuhai,Global,Small and Medium Enterprises (SMEs) ,EV Charging
Aleees,http://www.aleees.com/zh/,Lithium battery cathode materials and electric buses,Public,,x,Mature,2005,Taiwan,Taoyuan City,Global,Manufacturers,Battery manufacturing
TD HiTech Energy,https://www.htenergy.com.tw,Batteries and battery packs for electric vehicles,Funded,,x,Nascent,2011,Taiwan,Hsinchu,Global,Manufacturers,Battery manufacturing
WattSmart,http://wattsmart.ph,Energy Intelligence about each appliance energy consumption,Funded,,Energy Analytics,Nascent,2014,Philippines,Makati,Global,Small and Medium Enterprises (SMEs) ,Energy Analytics
GreenWheel EV,http://www.greenwheel.com.cn,Electric vehicles for passenger and commercial usage,Funded,,x,Nascent,2000,China,Shenzhen,Global,Small and Medium Enterprises (SMEs) ,E Mobility
Amperex Technology,https://atlbattery.com/en/index.html,Lithium based battery and cell manufacturers,Acquired,"30,000,000",x,Mature,1999,China,Hong Kong,Global,Commercial and Industrial (C&I) ,Battery manufacturing
Anacle Systems,https://www.anacle.com,Energy management software and business software solutions,Series A,"2,300,000",Data Analytics,Emerging,2006,Singapore,Singapore,Global,Small and Medium Enterprises (SMEs) ,Data Analytics
Ultraviolette,https://www.ultraviolette.com,Electric vehicle for personal mobility,Series A,"5,521,575",x,Nascent,2014,India,Bangalore,Global,End consumers,E Mobility
Evoke Motorcycles,https://www.evokemotorcycles.com,Smart electric motorcycles,Funded,,x,Nascent,2014,China,Beijing,Global,End consumers,E Mobility
Sinopoly Battery,http://www.sinopolybattery.com,Lithium-Ion battery manufacturer,Funded,,x,Nascent,2010,China,Hong Kong,Global,Real Estate Developers ,Battery manufacturing
Altigreen,https://www.altigreen.in,Developer of electric powertrains,Series A,"6,050,843",x,Nascent,2012,India,Bangalore,Global,End consumers,E Mobility
Tessol,https://www.tessol.in,Thermal energy storage solutions,Series A,"1,704,412",Energy Efficiency,Nascent,2013,India,Mumbai,Global,Commercial and Industrial (C&I) ,HVAC
Hero Electric,https://heroelectric.in/,Developer of electric scooters,Series A,"42,188,560",x,Emerging,1993,India,Delhi,Global,End consumers,E Mobility
Ecolibrium Energy,https://www.ecolibriumenergy.com,Energy Intelligence platform and Customer engagement portal,Series A,"4,815,782",Smart Cities,Emerging,2008,India,Ahmadabad,Global,Commercial and Industrial (C&I) ,Predictive Analytics
Floatility,https://www.floatility.com,Urban electric mobility solution,Funded,,x,Nascent,2013,Singapore,Singapore,Global,End consumers,E Mobility
TSINOVA,https://www.tsinova.com,Intelligent travel equipment and smart bicycle manufacturer,Series B,"29,300,000",x,Nascent,2014,China,Beijing,Global,End consumers,E Mobility
BYD,http://www.byd.com/en/index.html,Vertically integrated solution provider for green energy technologies,Public,"680,000,000",x,Mature,1995,China,Shenzhen,Global,End consumers,E Mobility
Thunder Power,http://www.tpev.com,Electric car manufacturer,Public,,x,Mature,1987,Taiwan,Taipei,Global,End consumers,E Mobility
Kalki Communication Technologies,https://kalkitech.com,Offers smart-grid solutions to optimize energy generation,Series B,"11,500,000",Smart Energy,Emerging,1998,India,Bangalore,Global,Commercial and Industrial (C&I) ,Smart Grids
Niu,https://www.niu.com/en/,Smart Electric scooters,Public,"50,000,000",x,Emerging,2014,China,Beijing,Global,End consumers,E Mobility
Euler Motors,https://www.eulermotors.com,Mobility as a service provider for ecommerce and 3PL,Seed,"1,149,331",x,Nascent,2018,India,Delhi,Global,Commercial and Industrial (C&I) ,Mobility as a Service
eMonitech,https://www.emonitech.com,Load management system provider,Seed,,Energy Analytics,Nascent,2017,Mexico,Chihuahua,Global,Commercial and Industrial (C&I) ,Energy monitoring systems for buildings 
Clenergy,http://www.clenergy.com,Solar mounting structures,Funded,,Renewables Transition,Nascent,2007,China,Xiamen,Global,Commercial and Industrial (C&I) ,C&I solar
Eco Wave Power,https://www.ecowavepower.com,Developer for wave power and wave energy devices,Series A,"5,000,000",x,Nascent,2011,Israel,Tel Aviv-Yafo,Global,Utilities ,Wave energy convertor 
Delfos,https://delfosim.com/,Developer of predictive maintenance platform for wind energy plants,Seed,"409,595",Telemedicine,Nascent,2016,Brazil,Fortaleza,Global,Commercial and Industrial (C&I) ,AI-Assisted Diagnosis
China Solar Energy,http://www.chinasolar-energy.com,Developers of thin-film solar modules,Public,,x,Mature,2006,China,Hong Kong,Global,Utilities ,Solar panel manufacturer 
MYSUN,https://www.itsmysun.com,Platform to connect solar installers and customers,Seed,"9,372,970",x,Nascent,2015,India,Noida,Global,Commercial and Industrial (C&I) ,Solar panel manufacturer 
FluxGen,https://www.fluxgen.com,Offers IoT based solar and energy monitoring systems,Funded,,x,Nascent,2011,India,Bangalore,Global,Small and Medium Enterprises (SMEs) ,Water Management
SkyBless,https://www.skybless.in,Provider of P2P power sharing platform,Funded,,x,Nascent,2017,India,Mumbai,Global,Real Estate Developers ,Solar EPC
Zhongdian Huarui Technology,http://www.cepht.com,Developer of hardware and software based solutions for smart grid operations,Funded,,Smart Energy,Nascent,2010,China,Beijing,Global,Utilities ,Smart Grids
Beam,https://www.ridebeam.com,App-based platform for sharing and rental of electric kick-scooters,Seed,"6,400,000",x,Nascent,2018,Singapore,Singapore,Global,End consumers,E Mobility
BenAn Energy Technology,http://www.benanenergy.com,Manufacturer of aqueous sodium ion battery based storage system,Funded,,x,Nascent,2017,China,Shanghai,Global,Commercial and Industrial (C&I) ,Battery manufacturing
Ueee,https://www.ueee.cn,Electric vehicle charging network,Series A,"7,700,000",x,Nascent,2014,China,Shenzhen,Global,Commercial and Industrial (C&I) ,EV Charging
Nanjing Yuebo Power System,http://www.yuebooemt.com,Manufacturer & supplier of electric powertrains,Funded,,x,Nascent,2012,China,Nanjing,Global,Commercial and Industrial (C&I) ,EV components
Immotor,https://www.ehuandian.net,Provider of battery swapping solution for smart electric scooters,Series B,"43,500,000",x,Nascent,2015,China,Shenzhen,Global,Manufacturers,EV components
Shenzhen Zhongxing New Material Technology,http://www.zimt.com.cn,Manufacturer of lithium battery separators,Seed,,x,Nascent,2012,China,Shenzhen,Global,Manufacturers,EV components
Fortune,https://www.ic-fortune.com,Develops battery and power management ICs,Public,,x,Mature,1995,Taiwan,Taipei,Global,Manufacturers,Circuit Design
Anhui Antai Technology,http://www.antaiib.com,Builds smart buildings and factories,Funded,,Smart Cities,Nascent,2001,China,Hefei,Global,Commercial and Industrial (C&I) ,Smart Building Management
Epitop,http://www.epitop.com.cn,Full color LED epitaxial wafer and chip manufacturer,Seed,,Smart Cities,Nascent,2010,China,Maanshan,Global,Commercial and Industrial (C&I) ,Smart Lighting
Allgreen Ecotech,https://www.allgreenecotech.com,Energy management for buildings and enterprises,Funded,,Smart Cities,Nascent,2010,India,Noida,Global,Small and Medium Enterprises (SMEs) ,Smart Building Management
Greendzine Technologies,https://www.greendzine.org,Developer of electric vehicles for commercial & recreational purpose,Seed,"467,644",x,Nascent,2014,India,Bangalore,Global,Commercial and Industrial (C&I) ,EV for industrial use
Shenzhen Klclear Technology,http://klclear.com,Developer of lithium battery management systems for electric vehicles,Funded,,x,Nascent,2010,China,"Nanshan
 Shanghai",Global,Manufacturers,EV components
Greeniee,https://greeniee.com/,Provider of energy monitoring equipment,Funded,,Energy Analytics,Nascent,2016,India,Kochi,Global,Commercial and Industrial (C&I) ,Energy Analytics
Megawheels,http://www.megawheels.com,Online retailer of electric personal mobility equipment,Funded,,x,Nascent,2014,China,Shenzhen,Global,End consumers,E Mobility
Lithium Urban Technologies,https://project-lithium.com/,Provider of urban electric transportation solutions,Series A,"20,000,000",x,Nascent,2013,India,Bangalore,Global,Small and Medium Enterprises (SMEs) ,Mobility as a Service
DrivAMP,http://www.drivamp.com,Developer of charging point 2-wheelers EVs and IOT platform for charge management,Funded,,x,Nascent,2016,India,Bangalore,Global,End consumers,EV Charging
SmartE,https://www.getsmarte.in,On-demand electric auto-rickshaw booking platform,Series B,"21,599,147",x,Nascent,2014,India,Gurgaon,Global,City councils ,E Mobility
Hooenergy,http://www.hooenergy.com,Charging solutions for electric vehicles,Funded,,x,Nascent,2016,China,Futian,Global,Retailers,EV Charging
Yogomo,http://www.yogomo.org,Developer and manufacturer of electric cars,Series A,,x,Emerging,2009,China,Xingtai,Global,End consumers,E Mobility
PointVerde,https://www.pointverde.com,Energy monitoring solution for buildings,Funded,,Energy Efficiency,Nascent,2010,Mexico,Mexico City,Global,Commercial and Industrial (C&I) ,Smart Meters
ProLogium Technology,http://www.prologium.com,Thin and flexible battery manufacturer,Series D,"250,000,000",x,Mature,2006,Taiwan,Taoyuan City,Global,Manufacturers,EV components
Apeiron Mobility,https://www.apeironmobility.com,Developer of electric motorcycles,Funded,,x,Nascent,2016,India,Bangalore,Global,Commercial and Industrial (C&I) ,EV for commercial use
Ampd Energy,https://www.ampd.energy,Commercial grid connected Energy Storage system developers,Seed,"3,700,000",Energy Efficiency,Nascent,2014,China,Hong Kong,Global,Commercial and Industrial (C&I) ,Energy Generation
NrgStorEdge,https://www.nrgstoredge.com,Aqueous solution for storing hydrogen,Funded,,Renewables Transition,Nascent,2015,Israel,Jerusalem,Global,Commercial and Industrial (C&I) ,Hydrogen gas for vehicles 
Green Koncepts,https://www.greenkoncepts.com,"BEMS, DCIM and Lighting monitoring systems",Series B,"1,000,000",Energy Analytics,Emerging,2008,Singapore,Singapore,Global,Small and Medium Enterprises (SMEs) ,Energy monitoring systems for buildings 
Orxa Energies,https://www.orxaenergies.com,Three-wheeled electric motorcycle,Funded,,x,Nascent,2015,India,Bangalore,Global,End consumers,E Mobility
H2 Energy Now,https://h2energynow.com/,Hydrogen generation using radio waves,Seed,"75,000",Renewables Transition,Nascent,2010,Israel,Beersheba,Global,Commercial and Industrial (C&I) ,Energy storage 
Technovator International,http://technovator.com.sg/,Multi-site building energy management systems,Public,,Energy Analytics,Mature,2005,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,Energy monitoring systems for buildings 
OptimumNano Energy,http://www.optimumnanoenergy.com,Designer and Manufacturer of Lithium based batteries and cells,Funded,,x,Nascent,2002,China,Shenzhen,Global,Commercial and Industrial (C&I) ,Battery manufacturing
eGlu,https://www.myeglu.com,IoT based home automation/security solutions,Seed,"396,938",Smart Cities,Nascent,2013,India,Bangalore,Global,End consumers,Smart Home
ThinkRise,http://www.thinkrise.cn/index.html,Smart thermostat,Seed,,Energy Efficiency,Nascent,2014,China,Beijing,Global,End consumers,Energy Efficiency
Hangpai Electric Vehicle,https://www.hangpai-ebike.com,Electric bicycles and other vehicles,Funded,,x,Nascent,2006,China,Hangzhou,Global,End consumers,E Mobility
Ankai,https://www.ankai.com,"Large, medium and light electric and hybrid buses",Public,,x,Mature,1997,China,Hefei,Global,Commercial and Industrial (C&I) ,E Mobility
Lithos Motors,http://www.vahann.com,Foldable electric personal transport equipment,Funded,,x,Nascent,2015,India,Nagpur,Global,Small and Medium Enterprises (SMEs) ,EV for commercial use
Kandi Technologies,http://www.kandivehicle.com,Electric car manufacturer,Public,"43,500,000",x,Mature,2005,China,Jinhua,Global,Retailers,E Mobility
Time and Space Electric,https://www.skio.cn,Developer of electric cars,Series B,"159,000,000",x,Nascent,2013,China,Hangzhou,Global,Retailers,E Mobility
INMOTION Technologies,https://www.imscv.com,Sensor controlled battery powered vehicles,Series B,"20,000,000",x,Nascent,2012,China,Shenzhen,Global,End consumers,E Mobility
IAT Automobiles Technology Company,http://www.iat-auto.com,Electric vehicle maker,Series B,,x,Emerging,2001,China,Beijing,Global,Manufacturers,EV components
Gogoro,https://www.gogoro.com,Developer of electric scooters and operator of battery swapping networks,Series C,"480,000,000",x,Emerging,2011,Taiwan,Taoyuan City,Global,End consumers,E Mobility
Zhejiang Chuangtai Technology,http://www.innotek-co.com,Road parking management solution,Funded,,Smart Cities,Nascent,2012,China,Hangzhou,Global,City councils ,Traffic Management
Beacon,http://www.beacon-tech.cn,Manufacturer of air purification systems,Funded,,x,Nascent,2006,China,Fengtai,Global,Real Estate Developers ,Air Quality Monitoring
Get Parking,https://www.getparking.in,Smart parking app,Seed,"37,419",Smart Cities,Nascent,2016,India,Mumbai,Global,City councils ,Traffic Management
SolView,https://www.solview.com,Offers solar data analytics platform,Funded,,Smart Cities,Nascent,2012,Israel,Tel Aviv-Yafo,Global,Real Estate Developers ,Visual Analytics
Supremind,https://www.supremind.com,Developer of AI-powered video analysis technology,Seed,"8,179,320",Smart Cities,Nascent,2016,China,Shanghai,Global,City councils ,Visual Analytics
Beijing Digital Zhengtong Technology,http://www.egova.com.cn,"Provider of IT consulting, security, and application development services",Public,,Smart Energy,Mature,2001,China,Haidian,Global,City councils ,Smart Grids
iRam Technologies,http://www.iramtech.com,Provider of end-to-end solutions for applications in smart cities,Seed,"931,056",Smart Cities,Nascent,2009,India,Bangalore,Global,City councils ,Smart Lighting
Softcom Wisdom Technology,http://www.isstech.com/portal/index.html;jsessionid=E82BCEA020401726CA4F120BD36093EC,Developer of IoT solution for applications in smart cities,Series A,,Energy Analytics,Emerging,2004,China,Beijing,Global,Commercial and Industrial (C&I) ,IOT Devices
SeismicAI,https://www.seismicai.com,Developer of earthquake early warning system for small businesses and municipalities,Funded,,Smart Energy,Nascent,2016,Israel,Tel Aviv-Yafo,Global,City councils ,Smart Grids
Fairsense,http://www.fairsense.cn,Developer of IoT enabled environmental monitoring solution for enterprises,Funded,,x,Nascent,2016,China,Beijing,Global,Commercial and Industrial (C&I) ,Air Quality Monitoring
Responscity,https://www.responscity.com,Location-based citizen engagement platform,Seed,"25,155",Data Collection,Nascent,2016,India,Surat,Global,City councils ,Digital Identities
VisualAi,https://visualai.io/,Drone based aerial data analytics provider,Seed,,Smart Cities,Nascent,2014,India,Delhi,Global,Commercial and Industrial (C&I) ,Visual Analytics
MEMSing,https://www.memsing.sg,Developer of underwater acoustic sensing module for water and oil pipeline leak detection,Funded,,Energy Analytics,Nascent,2018,Singapore,Singapore,Global,Commercial and Industrial (C&I) ,IOT Devices
Transerve Technologies,http://www.transervetechnologies.com,Geo-Spatial technology based solutions for businesses,Series A,"1,671,866",Smart Cities,Emerging,2009,India,Margao,Global,Commercial and Industrial (C&I) ,Visual Analytics
Gaia,https://www.gaia.in,IoT solutions and services companies providing solutions for smart cities and other industrial clients,Seed,"805,032",Energy Analytics,Nascent,2015,India,Mumbai,Global,Commercial and Industrial (C&I) ,IOT Devices
MyCity360,http://mycity360.co.il/,IoT-based parking system,Funded,,Smart Cities,Nascent,2016,Israel,Tel Aviv-Yafo,Global,City councils ,Traffic Management
Ibrum Technologies,https://www.ibrum.tech,Develops air quality monitoring systems and purifiers,Funded,,x,Nascent,2015,India,Bangalore,Global,Commercial and Industrial (C&I) ,Air Quality Monitoring
winAMR,http://www.winamr.com,Advanced metering products and solutions,Series A,"558,039",Energy Efficiency,Emerging,2006,India,Hyderabad,Global,Commercial and Industrial (C&I) ,Smart Meters
Terminus Technologies,https://www.tslsmart.com,Develops connected access control and parking management solutions,Series C,"529,511,600",Smart Cities,Emerging,2015,China,Beijing,Global,Commercial and Industrial (C&I) ,Smart Building Management
Helpers,http://ar.helpers.ngo/,Social safety network for citizen safety in smart cities,Funded,,Renewables Transition,Nascent,2012,Israel,Tel Aviv-Yafo,Global,End consumers,Training
SmartTerra,https://www.smartterra.io,Develops a data platform for integrating and analyzing water and sewage data at city scale,Funded,,x,Nascent,2016,India,Hyderabad,Global,City councils ,Water Management
Qlue,https://www.qlue.co.id,Mobile application for reporting neighborhood complaints,Series A,,Smart Cities,Nascent,2015,Indonesia,Jakarta,Global,City councils ,Traffic Management
WhereIsMyTransport,https://www.whereismytransport.com,Big data platform for transportation information,Series A,"13,322,020",Smart Cities,Nascent,2015,South Africa,Cape Town,African,End consumers,Maps
Aquarius Spectrum,https://www.aquarius-spectrum.com,Leak detection for urban water systems,Series A,"2,200,000",Smart Cities,Emerging,2009,Israel,Netanya,Global,Utilities ,Water leakage
ZenCity,https://zencity.io/,AI-based decision making solution for government,Series A,"11,200,000",Data Analytics,Nascent,2014,Israel,Tel Aviv-Yafo,Global,City councils ,Data Analytics
Ayyeka,https://www.ayyeka.com,End-to-end remote monitoring solutions for different IoT applications,Funded,,Energy Analytics,Nascent,2011,Israel,Jerusalem,Global,Commercial and Industrial (C&I) ,IOT Devices
Innovaccer,http://www.innovaccer.com,Provider of patient health data analytics platform,Series C,"120,999,962",Smart Hospitals,Emerging,2014,USA,San Francisco,Global,Health care workers,Health Care Information Management
SmartPeep,https://www.smartpeep.ai,AI-based patient monitoring solution for nurses,Funded,,Smart Hospitals,Nascent,2016,Singapore,Singapore,Global,Health care workers,Patient Monitoring
Clinic World,http://clinicworld.in/,Platform for analysing patient care and hospital management,Funded,,Smart Hospitals,Nascent,2016,India,Gurgaon,Global,Health care workers,Patient Management System
K-Arogia,https://www.k-arogia.com,Analytics drive patient engagement program to improve patient loyalty,Seed,"1,158,309",Smart Hospitals,Nascent,2016,India,Vijayawada,Global,Health care workers,Health Care Information Management
Wis2Biz,https://www.wis2biz.com,Data-driven SaaS & mobile platform for consumer engagement,Funded,,Data Analytics,Nascent,2016,Israel,Tel Aviv-Yafo,Global,End consumers,Data Analytics
RADLogics,https://www.radlogics.com/home-us/,Automated analysis of radiology images,Series A,"5,000,000",Telemedicine,Emerging,2010,Israel,Tel Aviv-Yafo,Global,Health care workers,AI-Assisted Diagnosis
Medial EarlySign,https://earlysign.com/,Develops a machine learning based decision support tool which enables personal and outcome-based interpretation of medical data.,Series B,"50,000,000",Digitising Health Data,Emerging,2009,Israel,Kfar Saba,Global,Health care workers,EHR
DeepCare,http://www.deepcare.com,AI based medical imaging solution,Series A,"900,000",Data Analytics,Nascent,2016,China,Beijing,Global,Health care workers,Data Analytics
Infervision,https://global.infervision.com,Diagnosis through medical imaging using deep learning techniques,Series C,"74,147,100",Telemedicine,Emerging,2016,China,Beijing,Global,Health care workers,AI-Assisted Diagnosis
Zoojoo.BE,http://www.zoojoo.be,Web/mobile based corporate wellness program through gamification,Seed,"1,000,000",Telemedicine,Nascent,2012,India,Bangalore,Global,Commercial and Industrial (C&I) ,Mobile Health Info
Holmusk,https://www.holmusk.com,Provider of digital health solutions for chronic illness,Seed,"12,792,000",Data Analytics,Nascent,2015,Singapore,Singapore,Global,End consumers,Data Analytics
Kytera,http://www.kyteratech.com,Contextual activity analysis system for elderly care,Seed,,Telemedicine,Nascent,2012,Israel,Rishpon,Global,End consumers,Remote Diagnostics and Treatment
QorQl,https://www.qorql.com,Doctor appointment booking platform with integrated EHR and practice management,Seed,,Smart Hospitals,Nascent,2015,India,"Noida, Roorkee",Global,Health care workers,Patient Management System
SigTuple,https://sigtuple.com/,AI based healthcare diagnostic solution,Series C,"44,803,870",Telemedicine,Emerging,2015,India,Bangalore,Global,Health care workers,AI-Assisted Diagnosis
Magentiq Eye,https://www.magentiq.com,Computer vision technology in endoscopic procedures,Seed,"100,000",Telemedicine,Nascent,2015,Israel,Haifa,Global,Health care workers,AI-Assisted Diagnosis
Med Smart,http://www.medsmart.co.in,Tools for resource utilization and performacnce measurement,Funded,,Smart Hospitals,Nascent,2014,India,Bangalore,Global,End consumers,Smart Hospitals
Yidu Cloud,https://www.yiducloud.com.cn,Big Data analytics on medical data,Series B,,Digitising Health Data,Nascent,2014,China,Beijing,Global,End consumers,Electronic Health Records 
Nanjing Tianchuang Electronic Technology,http://www.tetraelc.com,Software solution for power station operation management,Funded,,Renewables Transition,Nascent,2011,China,Nanjing,Global,Manufacturers,Solar panel maintenance
PiBeam,https://pibeamlabs.com/,Developer of electric utility vehicles,Seed,"1,499,159",x,Nascent,2013,India,Chennai,Global,End consumers,E Mobility
Ezysolare,http://www.ezysolare.com,Online B2B solar marketplace and service provider,Seed,,Renewables Transition,Nascent,2014,India,Ahmadabad,Global,End consumers,Energy Financing
Wuhan Rixin Technology,http://www.rixinsolar.com,Manufacturer of smart photovoltaic energy system,Funded,,x,Nascent,2001,China,Wuhan,Global,Real Estate Developers ,Solar EPC
REenergy Electric,http://www.ree-electric.com,Wind energy technology developer,Funded,,Renewables Transition,Nascent,2008,China,Suzhou,Global,Utilities ,Wind power maintenance
Electreefi,http://www.electreefi.com,Provider of EV charging infrastructural solutions,Funded,,x,Nascent,2018,India,Noida,Global,Small and Medium Enterprises (SMEs) ,EV Fleet Orchestration
Saphon Energy,http://www.saphonenergy.com,Technology developer of the Zero-Blade wind converter,Series A,,x,Nascent,2011,Tunisia,Tunis,African,Utilities ,Wind power generation
Sunew,https://sunew.com.br/,Manufacturer and installer of organic PV modules,Series B,,x,Emerging,2005,Brazil,Belo Horizonte,Global,Real Estate Developers ,Solar power generation
Changzhou Almaden,http://www.czamd.com,Thin film Solar PV panels and Utility scale project developer,Public,,x,Mature,2006,China,Changzhou,Global,Commercial and Industrial (C&I) ,Solar Electrical Components
Seeder Clean Energy,https://seederenergy.com,Cleantech platform for connecting users to developers,Seed,,x,Nascent,2013,China,Shanghai,Global,Commercial and Industrial (C&I) ,Solar EPC
The Sun Exchange,https://www.thesunexchange.com,Decentralized crowdsourcing based solar project investment platform,Seed,"3,207,564",Renewables Transition,Nascent,2014,South Africa,Cape Town,African,Real Estate Developers ,Energy Financing
Chargeit,https://www.letschargeit.com,Decentralized EV charging station network,Funded,,x,Nascent,2018,India,Gurgaon,Global,End consumers,EV Charging
Xi'an Qingtaike New Energy Technology,http://www.qtk-xny.com,Manufacturer of EV motors & components,Seed,"2,472,830",x,Nascent,2018,China,Xian,Global,Manufacturers,EV components
GoZero,https://www.gozero.in,Developer of electric bicycles,Seed,"250,000",x,Nascent,2018,India,Gurgaon,Global,End consumers,E Mobility
Emaga Interconnect Technologies,http://emagaiot.com,IOT-based controlling solution provider for different applications,Funded,,Energy Analytics,Nascent,2017,China,Gurgaon,Global,City councils ,IOT Devices
Mobycy,https://www.mobycy.com,Mobile-based bike rental platform,Series A,"14,217,984",x,Nascent,2017,India,Gurgaon,Global,End consumers,E Mobility
SolCold,https://solcold.com/,Active cooling using sun radiation,Funded,,Renewables Transition,Nascent,2014,Israel,Tel Aviv-Yafo,Global,End consumers,Solar productive use
Grin,https://www.ongrin.com,App-based rental platform for electric kick scooters,Series A,"72,700,000",x,Nascent,2018,Mexico,Mexico City,Global,End consumers,E Mobility
PowerSines,https://www.powersines.com,Energy management solutions,Funded,,Energy Efficiency,Nascent,1980,Israel,Or Yehuda,Global,Commercial and Industrial (C&I) ,Energy Efficiency
ChargeDot,http://www.chargedot.com,Electric vehicle charging station solution provider and operator,Acquired,,x,Mature,2009,China,Shanghai,Global,Manufacturers,EV components
EcoPlant,http://www.ecoplant.co,Platform provider for monitoring and control systems,Series A,"1,700,000",Energy Efficiency,Nascent,2016,Israel,Modiin,Global,Real Estate Developers ,Energy Efficiency
Kuailun,http://www.kuailun.com,Manufacturer of electric personal transport equipment,Series A,"5,145,592",x,Nascent,2014,China,Nanjing,Global,End consumers,E Mobility
Jiangsu Koshi New Energy Materials,http://www.ue-bat.com,Lithium battery manufacturer,Series A,"5,313,760",x,Nascent,2016,China,Zhangjiagang,Global,Manufacturers,Battery manufacturing
ZeeSense,http://www.zeesense.com,Home and office automation products & solutions.,Funded,,Data Collection,Nascent,2008,India,Bangalore,Global,End consumers,Sensors 
Tianneng Power International,https://www.tianneng.com.hk,Manufacturer of lithium cells,Public,"12,000,000",x,Mature,1986,China,Huzhou,Global,Commercial and Industrial (C&I) ,Battery manufacturing
SunMoksha,https://sunmoksha.com/,Software solution for distributed energy resources,Funded,,Smart Energy,Nascent,2008,India,Bangalore,Global,End consumers,Smart Grids
Driivz,https://driivz.com/,Electric vehicle charging management platform,Series C,"23,000,000",x,Emerging,2012,Israel,Tel Aviv-Yafo,Global,Commercial and Industrial (C&I) ,EV Charging
Jiangsu Kai new energy materials,http://www.pioneerenergy.cn,Heat energy storage system developer,Funded,,Energy Efficiency,Nascent,2011,China,Zhangjiagang,Global,Utilities ,HVAC
X-Charge,http://www.xcharge.com,Charging station and equipment brand,Series A,,x,Nascent,2015,China,Beijing,Global,Commercial and Industrial (C&I) ,EV Charging
Okinawa Scooters,https://okinawascooters.com/,Developer and manufacturer of electric scooters,Seed,"768,834",x,Nascent,2015,India,Gurgaon,Global,End consumers,E Mobility
Ion Energy Labs,https://www.ionenergy.co,Developer of battery management solutions for energy storage applications,Seed,"1,041,661",Energy Efficiency,Nascent,2016,India,Mumbai,Global,Manufacturers,Battery optimising 
DLG Electronics Technology,http://www.dlgbattery.cn,Manufacturer of cylindrical Li-ion batteries,Funded,,x,Nascent,2001,China,Shanghai,Global,Manufacturers,Battery manufacturing
B&K Technology,http://www.bkbattery.com,Lithium-Ion cell and battery manufacturer,Funded,,x,Nascent,1999,China,Shenzhen,Global,Manufacturers,Battery manufacturing
Aquarius Engines,https://www.aquariusengines.com,Power generators for hybrid vehicles,Seed,"8,000,000",Energy Efficiency,Nascent,2014,Israel,Rosh Haayin,Global,Commercial and Industrial (C&I) ,Energy Generation
Teale,https://www.teale.asia,Energy service company in energy management systems,Funded,,Energy Analytics,Nascent,2014,Singapore,Singapore,Global,Utilities ,Energy Analytics
EnergiMate,http://www.energimate.com,IoT device to track energy parameters in machines,Funded,,Energy Analytics,Nascent,2016,India,Ghandinagar,Global,Commercial and Industrial (C&I) ,IOT Devices
Hexing Group,http://www.hxgroup.cn,Smart meters manufacturer,Funded,,Energy Efficiency,Nascent,1992,China,Hangzhou,Global,Utilities ,Smart Meters
Iris Energy,http://www.irisenergy.in,Remote monitoring solutions for lighting applications,Seed,"1,600,820",x,Nascent,2009,India,Pune,Global,Commercial and Industrial (C&I) ,Micro Grids 
Econduce,https://econduce.mx/,Electric scooter sharing and rental service,Funded,,x,Nascent,2013,Mexico,Mexico City,Global,End consumers,E Mobility
CosWheel,https://coswheel.com/,Developer of foldable electric bicycle,Seed,"306,000",x,Nascent,2015,China,Shenzhen,Global,End consumers,E Mobility
Pihsiang Machinery,http://www.pihsiang.com.tw,Electric vehicles for diffrently abled and elderly,Public,,x,Mature,1983,Taiwan,Hsinchu,Global,End consumers,E Mobility
Taka solutions,https://takasolutions.com/,ESCO model to reduce energy consumption,Seed,,Smart Cities,Nascent,2012,United Arab Emirates,Dubai,Global,Real Estate Developers ,Smart Building Management
