Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD)
OpenDoor Securities,https://www.opendoorllc.com/,2,Liquidity,6,"FI, FX & EQ marketplaces","OpenDoor Trading provides liquidity to off-the-run Treasuries (OFTR’s) and Treasury Inflation Protected Securities (TIPS), through a proprietary trading platform that is anonymous and session-based. It offers free access to its browser-based platform. Its customers include asset managers, central banks, primary dealers, hedge funds, and trading firms.",USA,2015,Series A,2018,32000000,10000000
WealthForge,https://www.wealthforge.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","WealthForge automates private placements making it more efficient for private entities to secure capital. The company provides an integrated solution for risk management, standardized processing and automated technology for issuers, broker-dealers and other intermediaries who are raising private capital.",USA,2009,Series B,2019,33200000,30000000
Mindbridge AI,https://www.mindbridge.ai/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","MindBridge provides real-time data analytics, pattern recognition, and anomaly detection solutions to help organizations of all sizes save time and money in investigating or auditing past activity, detecting active inadmissible behavior or preventing potential transgression. Company claims to use machine learning and data science-based technology to create its cloud-based product. It can be used for enterprise fraud detection which can either be internal as well as external fraud.",Canada,2015,Series B,2019,33900000,11400000
LogicGate,https://www.logicgate.com,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","LogicGate builds technology that allows businesses to automate and track disorganized processes in risk and compliance. It helps organizations reduce mission-critical risks and damaging compliance violations with the first 'agile GRC' platform. Its platform helps businesses conquer the obstacles presented by change, allowing technology to adapt to them. It removes the barriers that traditional GRC software places between people, processes, and data â€“enabling everyone to have the right information at their fingertips. LogicGate provides the transparency needed to collaborate, audit, and streamline work across all levels of an organization. It was founded in 2015 and is headquartered in Chicago, Illinois.","Chicago, Illinois, United States",2015,Early Stage Venture,2019,34250000,24750000
dv01,https://dv01.co/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","DV01 helps institutional investors decide which consumer loans to finance through marketplace lenders like Prosper Marketplace Inc. and Lending Club. It improves workflows and facilitates transactions for institutional investors, banks, and lenders. It allows users to review loan performance, both at the pool and individual level. Its streamlined user interface makes it easy to execute complex queries to quickly identify a specific pool or subset of loans by origination attributes and returns. They have provided investors real-time insight into $20+ billion of loans till date.",USA,2014,Series B,2019,35000000,15000000
Volante Technologies,http://www.volantetech.com/,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Since 2001, Volante has been focused on addressing the challenges of financial message integration and payments on-boarding, processing and orchestration. With a broad range of over 85 financial institutions and corporates as clients in 26 countries they provide the business agility needed to be competitive and thrive in the digital payments age by quickly dealing with the complexities of change, and taking advantage of business opportunities as they arise. All Volante products are born from a heritage of payments and financial message integration, and are rich with innovative functionality as a result of best practice driven R&D over the past 16 years. This means that their products coupled with their growing and maintained library of hundreds of international and domestic message standards plugins and transformations enable projects to be completed in months not years, or weeks not months, while insulating core systems from change.","Jersey City, New Jersey, United States",2001,Venture - Series Unknown,2020,35000000,35000000
Duco,https://www.du.co/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Duco enables financial services firms to control complex data using light-touch, self-service technology. Its flagship product Duco Cube is a SAAS product that can be used to analyze complex data for financial services firms. It helps in building efficient operations with customers on the sell side, buy side and major service providers. It provides simple interfaces that enable non-technical users to deal with masses of data in minutes. Duco won the 2014 FOW International Award for 'Best New Product – Reconciliation'.",England,2010,Series C,2018,35300000,28000000
Credit Benchmark,https://www.creditbenchmark.com/,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","Credit Benchmark is a credit risk data aggregator of banks. It gathers, aggregates, and anonymizes credit data from multiple banks. It delivers data in a legally-compliant manner. It facilitates data validation and entity matching, with the ability to handle unlimited datasets. It creates credit data and analysis that reflects the views of banks’ risk teams. The model allows the offering of insights on unrated sovereigns, hedge funds, public and private companies as well as the trading subsidiaries.",England,2012,Series B,2018,35600000,15000000
Trussle,http://www.trussle.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Trussle is a free online mortgage broker that's making mortgages fairer for everyone. Trussle has taken the mortgage process online, removing the time, hassle and costs involved in securing a mortgage. Trussle is completely free for customers and receives a fee from the lender once the mortgage was completed. Trussle is a trading style of Trussle Lab Ltd, which is an appointed representative of Mortgage Advice Bureau Limited and Mortgage Advice Bureau (Derby) Limited which is authorized and regulated by the Financial Conduct Authority.","London, England, United Kingdom",2015,Undisclosed,2020,35610748,9761621
Certent,https://certent.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Certent (fka EASi) provides cloud-based SaaS solutions for equity compensation management, equity compensation reporting and disclosure management. It provides customized solutions for both public and private companies. It also provides compliance software to automate equity financial and tax reporting. The company announced its next generation Disclosure Management solutions to support expansion of its financial compliance capabilities in Feb, 2016",USA,2002,Series D,2015,35900000,6500000
CMG,https://cmgx.io/,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","CMG offers data analytics platform. It allows users to collect a large amount of the data, analyze and handle asset management solutions, capture insights and helps capital markets and helps businesses to manage investment decisions. It also provides reporting solutions and allows users to manage data repositories and calendars.",USA,2015,Series B,2020,36000000,25000000
Beacon Platform,https://www.beacon.io/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Beacon provides a platform for financial institutions that allows them to build custom applications on top of the already provided modules. The Beacon platform already includes powerful analytics and tools such as trade blotter, marking and structuring tools, risk and PnL reports etc. Companies can use the code of these apps to build customized features on the platform to be integrated into their solution.",USA,2014,Series B,2020,37100000,20100000
trueEX Group,http://www.trueex.com,2,Liquidity,6,"FI, FX & EQ marketplaces","Based in NYC, trueEX is an electronic execution platform for the global interest rate swaps (IRS) market. trueEX will initially serve the $300 trillion global interest rate swaps (IRS) market and expand into other liquid derivatives as appropriate. Interest rate swaps are currently traded largely over the phone, without regulatory oversight, pre-trade or post-trade transparency, and with very little automation. The trueEX electronic exchange has been designed to serve the needs of both market makers as well as asset managers, hedge funds and other buy-side firms.","New York, New York, United States",2010,Venture - Series Unknown,2016,37137532,7752000
Xignite,http://www.xignite.com,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Named one of the ten coolest brands in banking, Xignite, Inc. provides cloud-based financial market data APIs to help emerging companies and established enterprises deliver real-time and reference market data to their digital assets, such as websites and apps. Xigniteâ€™s clients include more than 1,000 financial services, media and software companies from disruptive fintech firms, such as Betterment, FutureAdvisor, Motif Investing, Personal Capital, Robinhood, StockTwits, Wealthfront and Yodlee, to leading financial institutions, exchanges and market data vendors including, Nasdaq , SIX Financial Information and BMO. For more information, visit http://www.xignite.com or follow on Twitter @xignite.","San Mateo, California, United States",2000,Late Stage Venture,2016,37594816,20500000
H4,https://www.hfour.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","H4 is a digital platform transforming the documentation that underpins global financial markets and legal contracts. H4 is a utility for the marketplace to benefit investment banks, law firms, financial investors, issuers, and other market participants.","London, England, United Kingdom",2015,Venture - Series Unknown,2020,39000000,27000000
Tradair,https://www.tradair.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Tradair is a provider of front office optimization solutions offering financial institutions. Products include 1)TradAir-Rate Engine, allow clients to uniquely create multiple price streams, and algorithmically alter price creation and hedging in real time, 2)TradAir-Distribution, allows clients to target proprietary stream distribution to various clients and any venue independently and manage these streams dynamically, 3)TradAir Aggregator-enhances the trader desktop, integrating liquidity, positions, algorithms, applications and data feeds across instrument within a common front end, 4)TradAir Algo-optimizes trading through visualization and real-time TCA of order execution performance against a benchmark, adjusting parameters in real time to enhancing performance, 5)TradAir White Label-enhances the client user experience.",Israel,2010,Series D,2010,40000000,11000000
Unison,http://www.unison.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Unison is a provider of home-ownership investments used for long-term financing. Its investments offer long-term investments in individual residential properties through their innovative programs in exchange for the opportunity to share gain or loss in the home's value when they decide to sell that enable applicants to buy homes without interest or monthly payments. It was founded in 2004 and is headquartered in San Francisco, California.","San Francisco, California, United States",2004,Series B,2018,40000000,40000000
Ummeed Housing Finance,http://www.ummeedhfc.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Ummeed Housing Finance is a housing finance company that provides home loans and loan against property to lower and middle income families. The company aims to help people with informal incomes, who have limited access to organized finance and who constitute significant portion of the Indian population. Ummeed Housing Finance's services include issuance of home loans and loan against property to improve operational efficiency and reduce turnaround time for customers, enabling low and middle income households to get access to affordable housing loans in an innovative and personalized manner.","Gurgaon, Haryana, India",2016,Series D,2020,40229211,22874996
OpenFin,https://openfin.co/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"OpenFin provides of HTML5 runtime technology for the financial industry that enables seamless deployment and desktop integration, banks and trading platforms use OpenFin to run high-performance, multi-window HTML5 applications on financial desktops, in-house or their buy/sell side customers. Their development tools consist of language adapters, Excel APIs, Inter-app messaging APIs and system APIs. The company makes its money on per-seat fees charged to the companies that make and distribute the applications that run on its service.",USA,2010,Series C,2019,41600000,22000000
Upstream Telecommunications and Software Systems,http://www.upstreamsystems.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Upstream is accelerating mobile commerce in high growth markets. Their software and infrastructure platform already enables 1.2 billion people to effortlessly receive and pay for the most relevant and affordable digital subscription services on their mobile devices. They reach more than one billion consumers in high growth markets, through their marketing and billing integration with more than 50 mobile operators in 43 markets across Latin America, Africa, Middle East, CIS and South East Asia. They select high value digital services, adapt them to local market specificities, market them through digital and operator channels and monetise them through their direct carrier billing capabilities. To-date, Upstream has engaged half a billion consumers over mobile and converted 65 million of them into paying customers, typically through a subscription micro-payment model.  They offer truly global coverage with offices in Rio de Janeiro, Sao Paulo, Lagos, Johannesburg, London, Milan, Bucharest, Greece, Dubai and Malaysia.","London, England, United Kingdom",2001,Venture - Series Unknown,2017,41806186,26508351
Global Shares,https://www.globalshares.com/uk/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Global Shares provides equity software solutions and services to public and private companies. It offers CAP Table Management and a shareholder portal for investors and employees. The software features private equity compensation. The users can run CAP Table reports in multiple formats and layouts. The users can track shareholder details, founder, investor and employee demographics and contact details.",Ireland,2005,Series B,2018,42400000,25000000
Mercatus,https://www.gomercatus.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity",Mercatus is a US based company focused on developing cloud-based asset management software solutions for energy industry. The company's Asset Investment Management (AIM) platform automates the full asset investment life cycle and assists the energy companies to manage risks associated with the assets.,USA,2009,Series C,2009,42400000,5100000
Vestwell,http://vestwell.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Vestwell is a digital platform that makes it easier to offer and administer 401(k) plans. Vestwell removes traditional friction points through seamless plan design, automated onboarding, streamlined administration, and flexible investment strategies, all at competitive pricing. By acting as a single point of contact, Vestwell has modernized the retirement offering while keeping the plan sponsor's and plan participant's best interests in mind. The company was founded in 2016 and based in New York, New York.","New York, New York, United States",2016,Series B,2019,42500000,30000000
Very Good Security,https://www.verygoodsecurity.com/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Very Good Security provides data security and compliance products and services to an enterprise. Products include VGS Vault, a multi-factor authentication based secure data storage; VGS Compliance, a compliance certification, and audit; reporting consulting package; Secure Veriforms, a secure form to capture sensitive data accessible via browser and mobile applications; and VGS Proxy, a data redaction and enrichment based token for anonymized big data processing. Pricing starts at $1.2k/month for 2.5GB bandwidth to the startup for proxy, and tokenization plans are based on the number of tokens created per year.
",USA,2015,Series B,2020,43500000,35000000
Clark Germany,https://www.clark.de,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Clark is an insurance platform providing transparent, cheap and comprehensive insurance coverage. By combining technology and insurance expertise, Clark offers users simple, fair and customer-centric insurance advice. The Berlin-based company was founded in June 2015 by Dr. Christopher Oster and Steffen Glomb. Clark is supported by FinTech incubator FinLeap and the insurance think tank ITA - ""Institute for Transparency"".","Frankfurt, Hessen, Germany",2015,Series B,2018,43810659,29000000
Penta Fintech,http://www.getpenta.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Penta is a digital business bank platform designed to help startups and SMEs save time and money on banking. It automates bank accounts and invoices, offers online cashless banking services, and helps to open an online banking account in minutes, enabling consumers to manage their cashflows easily. Penta's mission is to disrupt business banking in Europe and worldwide. It was founded in 2016 and is headquartered in Berlin, Germany.","Berlin, Berlin, Germany",2016,Series B,2020,44712827,4509938
ErisX,https://erisx.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","ErisX specializes in digital asset space that offers both spot and futures contracts on one platform. It integrates digital asset products and technology into reliable, compliant, and robust capital markets workflows. ErisX solution provides trading, deposits, and withdrawals on a stable, proven capital markets technology infrastructure. The company was founded in 2018 and is headquartered in Chicago, Illinois.",USA,2018,Early Stage Venture,2019,47500000,20000000
XM Cyber,https://xmcyber.com,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","XM Cyber provides a fully automated APT Simulation Platform to continuously expose all attack vectors, above and below the surface, from breach point to any organizational critical asset. This continuous loop of automated red teaming is completed by ongoing and prioritized actionable remediation of organizationsâ€™ security gaps. In effect, HaXM by XM Cyber operates as an automated purple team that fluidly combines red team and blue team processes to ensure that organizations are always one step ahead of the hacker.","Herzliya, Tel Aviv, Israel",2016,Early Stage Venture,2020,49000000,17000000
Kira,https://kirasystems.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Kira Systems is a machine learning software that identifies, extracts, and analyzes text in contracts and other documents. Kira Systems is a provider of contract review and analysis software, helping the worldâ€™s largest corporations and professional service firms uncover relevant information from unstructured contracts and related documents. Kira is powerful, patented, award-winning software that excels at searching and analyzing contract text and can be deployed for due diligence, knowledge management, lease abstraction, regulatory compliance and other projects where visibility into contract provisions is critical. Using Kira Quick Study, anyone can train additional models that can accurately identify virtually any desired clause. The company was founded by Alexander Hudek and Noah Waisberg in 2010.","Toronto, Ontario, Canada",2011,Early Stage Venture,2018,49335676,49335676
Kela Research & Strategy,https://ke-la.com/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","KELA offers proprietary Darknet-based cyber intelligence solutions for enterprises and government agencies worldwide. KELAâ€™s core mission is to harness and integrate the experiences and methodologies of the Israeli Defense Forcesâ€™ elite intelligence units for revolutionizing cyber, HLS, and finance. KELA's automated technologies monitor a curated set of Darknet sources to alert clients of targeted threats. All threats are analyzed and qualified by KELA's analysts, ensuring all intelligence is 100% actionable. Comprised of more than 100 intelligence and technical experts all leveraging unique skills from Israelâ€™s elite military intelligence units, KELA's team is able to develop high-end technologies and analyze complex data from an intelligence point-of-view. KELA Targeted Cyber Intelligence continues to lead the threat intelligence market, providing solutions and support in monitoring the Darknet to prevent potential cyber-attacks for enterprises and government agencies.","Tel Aviv, Tel Aviv, Israel",2009,Private Equity,2018,50000000,50000000
Guardian Analytics,https://guardiananalytics.com/,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Guardian Analytics provides fraud prevention solutions for protecting online channels and accounts. It provides a risk management solution for online fraud detection, forensics, and ongoing risk monitoring to financial institutions, such as banks, credit unions, and brokerages; and online service companies. The company also delivers a big data analytics-based software solution that addresses the risk management lifecycle. It has strategic partnerships with Quova, TriCipher, and Radware.",USA,2005,Acquired,2016,50400000,5060000
SmartAsset,https://smartasset.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","SmartAsset is a financial technology company that empowers people with automated personalized financial advice. Its proprietary technology, up-to-the-minute research and unique Automated Financial Modeling software simulate the impact of different decisions on peopleâ€™s personal finances, enabling millions of people to make smart financial decisions. The company has created dozens of calculators and tools spanning the full range of personal finance options including home buying, retirement planning, life insurance, personal loans, student loans, credit cards, loan refinance, taxes, finding a financial advisor and investing. These tools live on SmartAssetâ€™s website and are embedded in relevant content on financial publisher websites via the Captivate tool. The company furthers its mission of helping people make smart financial decisions by connecting them to financial advisors via the SmartAdvisor service. In addition to these tools, an in-house editorial team creates thousands of educational articles and data-driven studies.","New York, New York, United States",2012,Series C,2018,50531095,28000000
fintonic,http://fintonic.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Fintonic is a mobile-centric consumer banking platform that provides its users with insurance and investment products, and targeted loans. It offers an advanced access point for its users to enter all of their accounts as well as financial information to guide them through the analysis of millions of financial data points with relevant financial products. FintonicÂ´s algorithm analyses the suitability of a user for a loan and presents the user with pre-approved loans that can be contracted with a click of a button. The application is currently available in Spain and Chile with over 250,000 users. It was launched in 2012 and is based in Madrid, Spain.","Madrid, Madrid, Spain",2012,Series C,2019,50934537,21400000
Form3,https://form3.tech,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Form3 delivers cloud-based connectivity, payment processing, clearing and settlement services. It is a fully managed payment technology service combining a powerful AWS cloud processing platform, multiple-scheme payment gateways and a fully managed 24x7 service model. Form3's powerful micro-services architecture and API's provide a single point of simple access to the full universe of payment schemes. Its clients include a wide range of regulated financial institutions, including leading banks, non-bank financial institutions, and fintech companies (payment institutions, e-money providers, and pre-paid card providers).  Form3 was founded in 2016 and is based in London, England.","London, England, United Kingdom",2016,Series C,2020,51000000,33000000
Dwolla,http://www.dwolla.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Dwolla is a fintech company offering reliable payments infrastructure for businesses. From startups to enterprises, businesses across every industry use Dwollaâ€™s Platform to collect, facilitate or send electronic payments. Weâ€™ve made an incredibly complex process of accessing the various payment networks and navigating regulations feel simple.","Des Moines, Iowa, United States",2008,Venture - Series Unknown,2018,51300000,12000000
Jumio,http://www.jumio.com,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Fraudsters have no place in todayâ€™s digital economy. To protect against fraud and financial crime, businesses online needs to know that their customers are who they claim to be. But Jumio believes good customers shouldnâ€™t be bothered with identity verification solutions that slow them down. Jumio uses the power of informed AI, biometrics, machine learning, and certified liveness detection to help you rapidly convert more customers, stop fraudsters from infiltrating your online ecosystem. Jumio also helps organizations meet regulatory compliance including KYC, AML and GDPR and has verified more than 225 million identities issued by over 200 countries and territories from real-time web and mobile transactions. Jumioâ€™s solutions are used by leading companies in the financial services, sharing economy, digital currency, retail, travel and online gaming sectors.","Palo Alto, California, United States",2010,Venture - Series Unknown,2016,51713881,15000000
Prodigy Finance,https://www.prodigyfinance.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Prodigy Finance is an online platform that offers community loans to international postgraduate students. The student borrowers gain access to higher education that they might not otherwise be able to finance, and the investing community earns financial and social return through their investments. Banks examine student loan applications using localized lending templates and historic earnings in order to assess cross-border risk and lend to students from over 150 nationalities. These loans are collectively funded by a community of alumni, institutional investors, and qualified private investors. Founded in 2007, the company is headquartered in London, United Kingdom.","London, England, United Kingdom",2007,Series C,2018,52500000,996823281
Trade Vela,https://tradevela.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Vela Trading Technologies (fka SR Labs) provides enterprise grade market data and trading technology, with a range of solutions, from ultra-low latency trading solutions to cost saving trading technologies. Products include enterprise trading platforms, market data access solutions, reporting solutions along with a suite of managed services. They enable high-speed electronic trading using its flagship SREX™ and SMDS™ software solutions. Clients include Bulge bracket banks, Proprietary Trading / Market Making Firms and Hedge Funds.",USA,1997,Series C,2013,53000000,53000000
Credijusto,http://www.credijusto.com/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","Credijusto provides an online lending platform designed to offer easy, reliable, and transparent credit for SMEs. Its platform offers credit models that are focused on the health of each business, focusing on overall performance, rather than considering only the owner's personal credit history, enabling small businesses to obtain accessible credits in a fraction of the time and effort and grow their business. The company's credit models are focused on the health of each business, focusing on overall performance, rather than considering only the owner's personal credit history. The company was founded in 2015 and is based in Mexico City.","Mexico City, Distrito Federal, Mexico",2014,Series B,2020,53000000,100000000
DueDil,https://www.duedil.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"DueDil is the largest source of free private company information in the UK and Ireland. DueDil enables companies to benefit from the richest source of private company information, on a platform which runs alongside existing processes to help drive automation and enable more informed decision making. From sizing your market and on-boarding new customers, to automating your compliance checks on the businesses that you deal with, DueDil is the end-to-end solution companies need to transform their on-boarding process. Founded by entrepreneur Damian Kimmelman and launched in April 2011, DueDil is headquartered in London, UK. Itâ€™s backed by Passion Capital, Jonty Hurwitz, Federico Pirzio-Biroli, Sherry Coutu, and Tom Hulme. DueDil has been shortlisted for two Guardian Digital Innovation 2012 awards, was a finalist at the TechCrunch Europas, winner of the GeeknRolla startup competition, and has been featured in publications such as the Telegraph, TechCrunch, the FT, Wired, The Guardian, GigaOm and The Wall Street Journal. Along with companies such as Adobe, LinkedIn, and Thomson Reuters, DueDil was named as one of 31 companies expected to have an important impact on the information industry in 2012 by leading market research firm Outsell Inc, and the UK government's Cabinet Office transparency team has cited DueDil as a business providing innovative services using open data, in Deloitteâ€™s â€˜Open data: Driving growth, ingenuity and innovationâ€™ report.","London, England, United Kingdom",2011,Late Stage Venture,2019,53381934,1267918
CurveGlobal,https://www.lseg.com/markets-products-and-services/our-markets/curveglobal,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,CurveGlobal is an interest rate derivatives venture,England,2014,Acquired,2019,54400000,23300000
MarketFinance,http://www.marketfinance.com,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","MarketFinance is a business finance company with offices in London and Manchester. The online platform enables businesses to access a range of flexible finance solutions â€” quickly and easily. This smart technology is backed by help from real people so business owners can save time and focus on growing their business.   Since 2011, MarketFinance has advanced over Â£2.6 billion to companies across a range of sizes and sectors, providing working capital and finance for everything from paying staff and suppliers to launching new products or services and accelerating growth.   MarketFinance is backed by Barclays, Santander InnoVentures, European venture capital fund Northzone (invested in Klarna, iZettle, and Trustpilot), private equity group MCI Capital (also invested in iZettle, Azimo, and Gett), and Viola Credit.","London, England, United Kingdom",2011,Series B,2020,54887461,12698444
CrossLend,http://www.crosslend.com/,2,Liquidity,6,"FI, FX & EQ marketplaces","CrossLend designs a cross-border marketplace lending platform that makes pan-European investments possible via a single platform. The company's platform connects private and institutional investors from low-interest rate countries with borrowers from high-interest rate countries and intermediates loans and securitizes them into bonds in which they can invest, enabling investors with attractive risk-return profiles and borrowers with attractive interest rates.","Berlin, Berlin, Germany",2014,Series B,2019,55027506,38759861
Anchorage,https://www.anchorage.com,3,De/manage-risk,10,"Crypto-Security, and blockchain custody","Anchorage is the first crypto-native Qualified Custodian for institutional investors, offering a comprehensive platform complete with trading, staking, and governance. Co-founded by security engineers from Square and Docker, Anchorage has raised $57 million in funding from such leading investors as Visa and Andreessen Horowitz, and counts as clients many of cryptoâ€™s largest and best-known funds, including Blockchain Capital, BlockTower, Polychain, and Paradigm. It was founded in 2017 and is headquartered in San Francisco, California.","San Francisco, California, United States",2017,Early Stage Venture,2019,57000000,40000000
Seal Software,http://seal-software.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Seal Software is the leading provider of contract discovery, data extraction, and analytics. With Sealâ€™s machine learning and NLP technologies, companies can find contracts of any file type across their networks, quickly understand what risks or opportunities are hidden in their contracts and place them in a centralized repository. Based in the San Francisco Bay Area, Seal empowers enterprises around the world to maximize revenue opportunities, reduce costs, and mitigate risks associated with contractual documents, systems, and processes. Seal Software also provides User Driven Machine Learning, which allows business users to train the systemâ€™s machine learning functions and extract data; and extensibility, contract analytics, and data visualization solutions. It serves Fortune 500 businesses, including financial service, high technology, healthcare, legal service, and other industries. Kevin Gidney and Ulf Zetterberg founded Seal Software in 2010. It has its headquarters in Walnut Creek in California.","Walnut Creek, California, United States",2010,M&A,2019,58000000,15000000
AcadiaSoft,https://acadiasoft.com/,1,Regulation,1,Meeting Regulatory Requirements,"AcadiaSoft Inc. develops and markets derivatives and collateral management solutions for institutional investors. AcadiaSoft’s MarginSphere service is a margin confirmation community that streamlines communications between counterparties engaged in collateral management. It meets the financial scrutiny that comes from shareholders, bondholders, and regulators. Designed for both sell-side and buy-side, the platform provides a solution to the complex issues associated with collateral management workflow thereby reducing operational risk. It was founded through collaboration between major financial institutions, including eight Fed 14 banks, to create solutions that support full implementation of documented ISDA Collateral Requirements.",England,2005,Series C,2018,58300000,23700000
Axoni,https://axoni.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Axoni is a blockchain startup founded by Tradeblock founders, they just completed proof of technology submission for ICAP, a leading markets operator, on 26 February 2016. They provide markets with a multi asset messaging and matching Harmony network, and blockchain infrastructure to create a private, peer-to-peer, distributed ledger network using smart contracts. Their implementation process provides life cycle automation, transactional privacy, sufficient processing of trades to support high-volume markets, automated reporting, and a dynamic permissioning system to onboard new network participants.",USA,2013,Series B,2018,59000000,32000000
TransferMate,http://www.transfermate.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"TransferMate is a global B2B payments technology which enables companies to send & receive payments much cheaper, faster, and easier than ever before. To date we have transferred over $10 Billion for our clients.  TransferMate has built one of the largest private portfolios of payment licences worldwide (including licences in all 50 US States). By owning our licence network end-to-end, we can both send and receive payments for our clients at half the cost and twice the speed of banks.   Our technology integrates with the top 10 global accounting softwares (incl Quickbooks, SAP, & Xero) which eliminates payment administration for finance teams.  Combining our technology & payment licences, we are now partnering with innovative banks & financial channels who wish to improve the global payments experience for clients. Let's do business!","Dublin, Dublin, Ireland",2010,Series A,2018,59687711,24484542
Eigen Technologies,https://eigentech.com/,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","Eigen Technologies develops solutions for automation, analytics and search with the help of AI technologies. The company claims that its products are powerful, lightweight, mathematical structures as opposed to brute-force computational solutions which can be deployed locally, on-site to ensure speed, efficiency and data protection. As of Feb 2017, they are providing solutions for natural language processing, data analytics & reconciliation, intuitive search & optimization, etc. Clients include financial institutions, law firms, management consultancies, and other major enterprises.",England,2014,Series B,2020,60000000,5000000
Fnality International,https://www.fnality.org/,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,Fnality International - The payment solution enabling tomorrows financial markets and home of USC - the digital cash asset.,England,2019,Series A,2019,60000000,60000000
ThetaRay,https://thetaray.com/,1,Regulation,2,Identify the Client (AML/KYC),ThetaRay provides AI-based cyber threats and operational risk detection solutions. It deals with the Specialized Threat Analysis & Protection (STAP) space. It enables businesses to detect and prevent APT (Advanced Persistent Threat) and zero-day attacks. The company utilizes its proprietary algorithms to detect anomalies in the business through big data analytics techniques.,Israel,2013,Series B,2018,60000000,30000000
Cloud9 Technologies,https://www.c9tec.com/,1,Regulation,1,Meeting Regulatory Requirements,"Cloud9 provides a web-based platform and allows communication through voice, video or messaging. It also provides software for installation on a PC or tablet. It allows an unlimited number of communication links between traders and trading communities. The platform collects, structures and delivers real-time metadata and transcription.",USA,2013,Series B,2020,61500000,17500000
Integral,http://www.integral.com,2,Liquidity,6,"FI, FX & EQ marketplaces","Integral develops and operates FX Grid, a global Multi-sided Trading Facility (MTF) connecting active market participants with all major sources of FX liquidity. Together with FX Inside, its real-time Execution Management System (EMS), Integral's products represent the intersection of direct market access and algorithmic trading in the foreign exchange markets. Founded in 1993, Integral maintains development, support, and sales offices in Silicon Valley, Chicago, New York, London, Hong Kong, Tokyo, Singapore and Bangalore. Investors include Accel Partners, Adams Street Partners, Hudson Ventures, Ignite Group, Mizuho Capital and Mitsubishi UFJ Capital.","Palo Alto, California, United States",1993,Corporate Round,2018,66000000,15000000
